created_at	id_str	lang
Thu May 14 04:26:34 +0000 2020	1260788573692760064	in
Thu May 14 04:26:28 +0000 2020	1260788548392927233	en
Thu May 14 04:26:32 +0000 2020	1260788561596633095	en
Thu May 14 04:26:31 +0000 2020	1260788557540732940	en
Thu May 14 04:26:34 +0000 2020	1260788572895887363	en
Thu May 14 04:26:29 +0000 2020	1260788552909991938	th
Thu May 14 04:26:34 +0000 2020	1260788570203099139	und
Thu May 14 04:26:30 +0000 2020	1260788553681899522	in
Thu May 14 04:26:29 +0000 2020	1260788552519958528	und
Thu May 14 04:26:32 +0000 2020	1260788563945361408	fr
Thu May 14 04:26:34 +0000 2020	1260788573030227973	en
Thu May 14 04:26:28 +0000 2020	1260788545469456384	es
Thu May 14 04:26:29 +0000 2020	1260788552641597443	en
Thu May 14 04:26:35 +0000 2020	1260788576003989505	en
Thu May 14 04:26:29 +0000 2020	1260788549852397568	en
Thu May 14 04:26:32 +0000 2020	1260788563349614592	en
Thu May 14 04:26:35 +0000 2020	1260788575794323457	en
Thu May 14 04:26:33 +0000 2020	1260788566059147264	en
Thu May 14 04:26:34 +0000 2020	1260788573151932416	es
Thu May 14 04:26:34 +0000 2020	1260788572136730624	in
Thu May 14 04:26:35 +0000 2020	1260788575441952768	en
Thu May 14 04:26:35 +0000 2020	1260788575358066689	en
Thu May 14 04:26:29 +0000 2020	1260788550548590594	in
Thu May 14 04:26:34 +0000 2020	1260788572459687936	und
Thu May 14 04:26:29 +0000 2020	1260788550590595073	en
Thu May 14 04:26:28 +0000 2020	1260788546874552322	und
Thu May 14 04:26:29 +0000 2020	1260788552767549440	en
Thu May 14 04:26:29 +0000 2020	1260788550791860230	en
Thu May 14 04:26:29 +0000 2020	1260788550359973889	en
Thu May 14 04:26:32 +0000 2020	1260788564293488640	es
Thu May 14 04:26:31 +0000 2020	1260788560573202434	en
Thu May 14 04:26:33 +0000 2020	1260788566298431491	en
Thu May 14 04:26:34 +0000 2020	1260788572447109121	und
Thu May 14 04:26:32 +0000 2020	1260788562443661312	en
Thu May 14 04:26:35 +0000 2020	1260788574426771459	tl
Thu May 14 04:26:34 +0000 2020	1260788570593333248	fr
Thu May 14 04:26:33 +0000 2020	1260788566956716032	und
Thu May 14 04:26:31 +0000 2020	1260788560837226496	en
Thu May 14 04:26:30 +0000 2020	1260788556936564736	in
Thu May 14 04:26:35 +0000 2020	1260788575613988864	en
Thu May 14 04:26:33 +0000 2020	1260788569255403520	en
Thu May 14 04:26:28 +0000 2020	1260788545465151489	in
Thu May 14 04:26:29 +0000 2020		
